starttime	seconds	ctime	dtime	ttime	wait
Wed Nov 30 17:54:10 2011	1322704450	0	300	300	300
Wed Nov 30 17:53:52 2011	1322704432	0	300	300	300
Wed Nov 30 17:53:52 2011	1322704432	0	301	301	301
Wed Nov 30 17:54:11 2011	1322704451	0	301	301	301
Wed Nov 30 17:53:59 2011	1322704439	0	302	302	302
Wed Nov 30 17:53:56 2011	1322704436	0	303	303	303
Wed Nov 30 17:54:10 2011	1322704450	0	304	304	304
Wed Nov 30 17:54:12 2011	1322704452	0	305	305	305
Wed Nov 30 17:54:01 2011	1322704441	0	305	305	305
Wed Nov 30 17:54:06 2011	1322704446	0	307	307	307
Wed Nov 30 17:53:56 2011	1322704436	0	309	309	309
Wed Nov 30 17:58:39 2011	1322704719	0	310	310	310
Wed Nov 30 17:53:57 2011	1322704437	0	311	311	311
Wed Nov 30 17:58:34 2011	1322704714	0	311	311	311
Wed Nov 30 17:53:54 2011	1322704434	0	312	312	312
Wed Nov 30 17:53:49 2011	1322704429	0	312	312	312
Wed Nov 30 17:54:09 2011	1322704449	0	313	313	313
Wed Nov 30 17:54:14 2011	1322704454	0	314	314	314
Wed Nov 30 17:53:52 2011	1322704432	0	314	314	314
Wed Nov 30 17:58:44 2011	1322704724	0	315	315	315
Wed Nov 30 17:53:50 2011	1322704430	0	316	316	316
Wed Nov 30 17:54:11 2011	1322704451	0	318	318	318
Wed Nov 30 17:53:59 2011	1322704439	0	321	321	321
Wed Nov 30 17:54:16 2011	1322704456	0	324	324	324
Wed Nov 30 17:53:52 2011	1322704432	0	325	325	325
Wed Nov 30 17:58:35 2011	1322704715	0	325	325	325
Wed Nov 30 17:54:07 2011	1322704447	0	326	326	326
Wed Nov 30 17:54:07 2011	1322704447	0	329	329	329
Wed Nov 30 17:53:51 2011	1322704431	0	329	329	329
Wed Nov 30 17:58:45 2011	1322704725	0	333	333	333
Wed Nov 30 17:54:19 2011	1322704459	0	333	333	333
Wed Nov 30 17:54:06 2011	1322704446	0	339	339	339
Wed Nov 30 17:53:52 2011	1322704432	0	339	339	339
Wed Nov 30 17:54:16 2011	1322704456	0	354	354	354
Wed Nov 30 17:54:16 2011	1322704456	0	354	354	354
Wed Nov 30 17:58:40 2011	1322704720	0	355	355	355
Wed Nov 30 17:58:47 2011	1322704727	0	355	355	355
Wed Nov 30 17:58:40 2011	1322704720	0	355	355	355
Wed Nov 30 17:58:41 2011	1322704721	0	355	355	355
Wed Nov 30 17:58:47 2011	1322704727	0	356	356	356
Wed Nov 30 17:58:43 2011	1322704723	0	356	356	356
Wed Nov 30 17:58:39 2011	1322704719	0	356	356	356
Wed Nov 30 17:58:41 2011	1322704721	0	356	356	356
Wed Nov 30 17:58:43 2011	1322704723	0	356	356	356
Wed Nov 30 17:58:43 2011	1322704723	0	356	356	356
Wed Nov 30 17:58:44 2011	1322704724	0	356	356	356
Wed Nov 30 17:54:17 2011	1322704457	0	357	357	357
Wed Nov 30 17:54:02 2011	1322704442	0	357	357	357
Wed Nov 30 17:58:41 2011	1322704721	0	357	357	357
Wed Nov 30 17:58:42 2011	1322704722	0	357	357	357
Wed Nov 30 17:54:02 2011	1322704442	0	357	357	357
Wed Nov 30 17:54:12 2011	1322704452	0	357	357	357
Wed Nov 30 17:58:42 2011	1322704722	0	357	357	357
Wed Nov 30 17:58:42 2011	1322704722	0	357	357	357
Wed Nov 30 17:58:43 2011	1322704723	0	357	357	357
Wed Nov 30 17:58:42 2011	1322704722	0	357	357	357
Wed Nov 30 17:54:11 2011	1322704451	0	357	357	357
Wed Nov 30 17:54:00 2011	1322704440	0	357	358	357
Wed Nov 30 17:54:11 2011	1322704451	0	358	358	358
Wed Nov 30 17:58:39 2011	1322704719	0	358	358	358
Wed Nov 30 17:58:47 2011	1322704727	0	358	358	358
Wed Nov 30 17:54:02 2011	1322704442	0	358	358	358
